,Nickname,Review,Hashtag
1466,cafe.touring," 벌써 9월이라뇽,,",
1467,kgm868686, 2017.2.19. 조카 우동 완전 잘먹네 귀여워 그리고 집으로 고고,"일요일,언니네서,하룻밤자고,점심,구서동,삼복도로,미스터스시,초밥,알밥,우동,새우튀김,맛있어,배불러,먹스타그램"
1468,comet.way, 북촌점이 사라졌나보다 ㅡ2013년,"전광수커피,전광수커피북촌점"
1469,kgm868686," 2020.04.18. --->> 넘겨보세요 동영상, 언박싱, 사진 있어요 산에 갔다가 집에 오니 오뚜기 진비빔면이 집앞에 따악 ㅎㅎ 잘됐당 점심 메뉴로 너로 정했다 ㅎㅎ 이번에 새로 나온 신제품이고 백종원사부님이 모델이면서 인정한 비법소스 ㅎㅎ 부모님이랑 먹을거라 4개를 끓이고 ㅎㅎ 고명으로 오이를 올려 먹었다 매콤하고 달콤함이 입안을 가득~ 와우 거기다 새콤하기도 함 ㅎㅎ 입맛돋우기 최적~ 태양초의 매운맛에 사과와 타마린드 양념 비법소스로 시원한 맛을 더한 이번 진비빔면 맛있당 확실히 매콤하나 맛이게 매워서 자꾸 땡김 부모님도 인정하신 진비빔면 ㅎㅎ 굿~~~ @ottogi_daily 에서 선물받음","오뚜기,진비빔면,비법소스,퀴즈이벤트,당첨,배송,점심,잘먹을게요,감사합니다,사랑,찐이야,명작탄생,인생라면,핫한신상,비빔면,백종원,타마린드,맜있다,먹스타그램,후기스타그램,먹방,일상,소통,굿,좋아요"
1470,kgm868686, 2019.01.04.,"너구리한마리몰고가세요,농심너구리,스티커,너구리컬랙션20,귀엽당,음,커피한잔,나도커피한잔ㅋ,너구리컵,당첨기원,너구리는,개과"
1471,comoosoo, 강남역맛집 곱창고에서 회식! 가성비가 좋아서 종종 회식하는 곳 곱창에 곱이 가득가득 꼬소하다 사이드메뉴도 다양해서 좋음!! 이 날도 역시 맛있게 먹고옴 . . .,"맛집,강남역맛집,강남맛집,강남역곱창,강남역곱창맛집,강남곱창,강남곱창맛집,강남역회식장소,강남역모임장소,곱창고강남역점,강남곱창고,푸드스타그램,맛스타그램,먹스타그램,곱창,먹스타,먹부림,디저트,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
1472,cafe_onni, 알베르 또 갔어용 오늘은 디저트파티,"알베르,ALVER,강남카페,강남역카페,신논현카페,카페스타그램,카페투어,티라미수맛집,onni_서울"
1473,kgm868686, 2020.04.19. 추억 돋는 안락동 예전에 살던 동네라 정감이 가는 곳 비는 왔지만 도쿄규카츠 가서 규카츠를 불판위에 구우며 맛있게 먹었다 역시 고기~ 먹는다고 생각해보니 ㅋㅋㅋㅋ 굽는 사진이나 동영상이 없네 하하하 어쨌든 맛있게 먹고 왔다,"도쿄규카츠,온천천점,카페거리,규카츠정식,먹스타그램,먹방,일상,소통,좋아요,굿"
1474,zesnie_,,"620collins,620콜린스"
1475,comoosoo, 오늘 야식은 치킨이닷 후라이드 양념 반반치킨 불금엔 역시 치맥 . . .,"멕시칸치킨,치킨,야식,치맥,배달의민족,안주,치킨스타그램,불금,양념치킨,후라이드치킨,야식스타그램,간식,온더테이블,맛집,오늘뭐먹지,푸드스타그램,맛스타그램,먹스타그램,일상,데일리,존맛탱,JMT,food,daily,fff,onthetable"
1476,c.eunae_, 흑임자갸또 처음 먹어보는 맛인 케이꾸~~~!! 맛있다앙,"은애_카페기록,와이커피,논현동카페"
1477,g.y.w_cafe, 1.아메리카노 아메리카노 맛이없다 탄맛이나고느끼하다 분위기는 이쁘고 좋으나 아메리카노는 맛이별로다 다른메뉴는 어떨지 잘모르겠다 안산산다면한번와볼만하다 아메리카노는비추다,"카페그램,카페투어,안산,누뷜"
1478,cafe.touring, 2019년 새해 복 만땅하세용,
1479,yun.sojin,,"레깅스추천,안다르레깅스,드디어왔다,운동열심히하자,홧팅,살빼자그램"
1480,cafe_030, 오랜만에 성수동 카페 쇼파라 편하고 아늑하당 -lowkey coffee,
1481,comoosoo, 연남동 데이트갔다가 호랑이카레에서 저녁식사 호랑이카레랑 스페셜 오므라이스 주문! 카레에 귀여운 호랑이가 그려져있어서 심쿵 그리고 무엇보다 맛있어서 폭풍흡입 오므라이스도 계란이 몽글몽글하고 소스도 맛있는게 취향저격 후식으로 당근케이크까지..센스 맛있고 분위기도 좋아서 추천 연남동 데이트하면서 가기 좋은 곳 저도 다음에 또 가려구요 . . .,"호랑이카레,호랑이카레연남점,연남동,연남동맛집,연트럴파크맛집,홍대,홍대맛집,연남동데이트,홍대데이트,맛집,카레,오므라이스,카레맛집,홍대입구맛집,홍대입구역맛집,오늘뭐먹지,푸드스타그램,맛스타그램,먹스타그램,서울맛집,마포구맛집,럽스타그램,일상,데일리,존맛탱,JMT,food,daily"
1482,sorikangsound,,"부산,나들이,경부고속도로,여행"
1483,yun.sojin,,"다이어트그램,2일차,저녁운동해야되는데,저녁에비소식"
1484,trebella_oly,  - . . . -  서울 강남구 봉은사로 449 17F -,"티컬렉티브,차,티그램,티한잔,티투어,티타임,티맛집,카페,카페투어,카페스타그램,카페탐방,카페그램,카페놀이,카페디저트,강남구카페,서울카페,seoulcafe,cafe,coffee,감성사진,감성카페,루프탑카페,선정릉카페,심성카페,야경카페"
1485,cafe_onni,,"안동카페,카페볕,웅부공원,안동시내카페,카페스타그램,카페투어,안동여행,onni_안동"
1486,o_ourcafe, / 바람 좀 잦아들면 서피비치 가야지 ෆ~(˘˘~),"서피비치카페,예쁘다하조대"
1487,cafe_onni,,"스타벅스,홀리데이카라멜돌체프라푸치노"
1488,cafe.touring, 디저트 다 넘모 맛있자나영..,
1489,comoosoo, 믿고먹는 청년떡집 이번엔 티라미슈크림떡! 평소 티라미슈를 좋아해서 완전 기대하면서 먹어본건데 기대이상이였다 쫄깃한 떡 안에 달콤한 티라미슈크림 듬뿍 이건 꼭 먹어야해 . . 구입 @youngmill.kr . .,"청년떡집,티라미슈크림떡,티라미슈,떡,떡간식,떡스타그램,떡추천,떡택배,떡맛집,떡집,간식,간식스타그램,맛집,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,디저트,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
1490,comet.way, 클레버 방식으로 내려줬다. 에티오피아 이가체프를 주문했다. 신선하고 깔끔한 시트러스함이 생생하게 느껴졌다! 연희동점 지금은 없어졌으려나 ㅡ 2013년 사진,"5brewing,5brewingcoffee"
1491,kgm868686, 2020.08.10. 약속있을때 술먹는날 제외하고 저녁을 이제 간단하게 먹기위해 엔유씨로 요거트를 만들어서 먹기 떡 조금이랑 요거트에 살구쨈 넣어서 먹기 엄마가 만든 살구쨈~ 넣고 먹으니 맛있다 배는 고프겠지? 잘참아보자 ㅎㅎ 장도 튼튼해지고 좋구만,"저녁,엔유씨,요거트,살구쨈,아로니아,비타민가루,건강,건강관리,다이어트,먹스타그램,일상,소통,좋아요,굿"
1492,kgm868686, 2019.02.20.,"점심시간,식당에서밥먹고,아스크림,급땡김,롯데리아,고고,쿠앤크아이스크림,초코쉐이크,냠냠,맛나다,시원해ㅋ"
1493,comoosoo, 요즘 완전 핫한 샤인머스켓 하랑애에서 주문해서 먹었다 망고맛이나서 망고포도라고 불린다는 샤인머스켓 알맹이가 커서 깜놀 일단 엄청 싱싱하고 탱글탱글한 알속에 과즙이 가득 달달한게 넘 맛있다 처음 먹어봤는데 취향저격 요거트에 넣어먹어도 꿀맛일듯 . . 구입 @harangae . .,"하랑애,샤인머스켓,망고포도,샤인머스캣,포도,망고,청포도,과일,과일세트,망고맛포도,디저트,간식,간식추천,간식스타그램,후식,과일스타그램,먹스타그램,맛스타그램,푸드스타그램,온더테이블,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
1494,comoosoo, 선물받은 헬로달콤 마카롱 달달한 필링이 듬뿍이라 맛있다 쫀득달콤한 마카롱으로 당충전 . . .,"헬로달콤,마카롱,마카롱맛집,뚱카롱,동작구마카롱,상도동마카롱,상도역마카롱,맛집,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,디저트,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily,간식,간식추천,간식스타그램,당충전"
1495,maeng._.ing, 핑크뮬리와함께,"대구,현풍,현풍카페,161커피스튜디오"
1496,comoosoo, 강변상회 간만에 노량진수산시장! 민어회 먹었는데 완전 두툼한게 식감 짱이였다 서비스로 나온 전어회도 꿀맛 회부터 지리탕까지 진짜 배터지게 먹고왔다 민어회....초장에 푹 찍어먹으면 맛나다 . . .,"맛집,노량진맛집,노량진횟집,횟집,노량진수산시장,노량진수산시장맛집,노량진수산시장횟집,강변상회,전어회,가을전어,민어회,회,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,맛집그램,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
1497,_coffeeismylife_, 날씨최고다 가을이얌,
1498,cafe_onni,,"강남카페,강남역카페,아우어커피,아우어,ourcoffee,역삼동카페,앙버터케익,카페스타그램,카페투어,onni_서울"
1499,kgm868686, 동심의 세계로 장식용으로 써야징 ㅎ,"라이언,서면롯데백화점,카카오샵,프렌즈페이스팔찌"
1500,comet.way, 카페 마다 주력 음료가 있다 우유 들어간 것보다 블랙커피가 더 괜찮았던거 같다 ㅡ2018년 10월,"브로일링커피컴퍼니,broilingcoffeecompany,서강대카페,신수동카페,필름사진,필름카메라"
1501,comoosoo, 일산 커피볶는집 코지커피 멜론 수플레 팬케이크 조심스럽게 쓱싹쓱싹 . . .,"코지커피,카페,일산카페,일산맛집,일산디저트,웨돔맛집,웨돔카페,팬케이크,팬케익,메론,멜론,푸드스타그램,맛스타그램,먹스타그램,디저트,분위기좋은카페,선팔,맞팔,선팔맞팔,일상,데일리,food,daily,cafe,dessert,fff,f4f,간식"
